season,team,player_id,player_name,position,position_group,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,contract_player_name,contract_position,cap_number,cash_paid,base_salary,guaranteed_salary,has_contract_match,has_missing_contract,position_final,meets_sample_threshold,sample_confidence,contract_confidence,overall_confidence,production_rank_position,cost_rank_position,player_surplus_gap,player_surplus_rank,player_value_tier
2023,BAL,00-0039064,Zay Flowers,WR,WR,0,0,0,0,56,1,77,858,5,108,0.0,4.306115789804608,28.935609554954237,33.24172534475885,116.19172534475885,Zay Flowers,WR,2.55208,7.95832,0.75,0.75,True,False,WR,True,normal_sample,contract_matched,high,30.0,61.0,31.0,17.0,Major bargain
2023,BAL,00-0031549,Nelson Agholor,WR,WR,0,0,0,0,0,0,35,381,4,45,0.0,0.0,17.871011294482273,17.871011294482273,57.67101129448227,Nelson Agholor,WR,1.582,3.75,1.165,1.165,True,False,WR,True,normal_sample,contract_matched,high,60.0,69.0,9.0,34.5,Positive value
2023,BAL,00-0031235,Odell Beckham Jr.,WR,WR,0,0,0,0,0,0,35,565,3,64,0.0,0.0,21.68043598897827,21.68043598897827,67.68043598897827,Odell Beckham Jr.,WR,4.932,16.0,1.165,1.165,True,False,WR,True,normal_sample,contract_matched,high,56.0,32.0,-24.0,73.0,Major overpay
2023,BAL,00-0036550,Rashod Bateman,WR,WR,0,0,0,0,18,0,32,367,1,56,0.0,2.5212486889213324,3.5081551851469532,6.029403874068286,36.27940387406829,Rashod Bateman,WR,3.436204,1.805402,1.805402,1.805402,True,False,WR,True,normal_sample,contract_matched,high,79.0,49.0,-30.0,77.0,Major overpay
2023,CLE,00-0026158,Joe Flacco,QB,QB,1616,13,8,8,2,0,0,0,0,0,-0.5545871609025781,-0.4699459768101306,0.0,-1.0245331377127087,23.23546686228729,Joe Flacco,QB,1.175,1.1,1.8,0.0,True,False,QB,True,normal_sample,contract_matched,high,25.0,34.0,9.0,9.5,Positive value
2023,CLE,00-0033537,Deshaun Watson,QB,QB,1115,7,4,17,142,1,0,0,0,0,-18.950161800698037,9.937375105540553,0.0,-9.012786695157484,13.98721330484252,Deshaun Watson,QB,19.057,46.0,1.08,1.08,True,False,QB,True,normal_sample,contract_matched,high,27.0,10.0,-17.0,38.0,Major overpay
2023,CLE,00-0037267,Jerome Ford,RB,RB,0,0,0,0,813,4,44,319,5,63,0.0,-36.28953655072814,-6.178224922747871,-42.46776147347601,52.132238526524,Jerome Ford,RB,0.950537,0.87,0.87,0.0,True,False,RB,True,normal_sample,contract_matched,high,32.0,51.0,19.0,13.5,Strong bargain
2023,CLE,00-0033923,Kareem Hunt,RB,RB,0,0,0,0,411,9,15,84,0,21,0.0,-4.943675237866472,-2.7660895040025935,-7.709764741869066,47.790235258130934,Kareem Hunt,RB,1.225,1.198529,1.125,0.5,True,False,RB,True,normal_sample,contract_matched,high,36.0,35.0,-1.0,30.0,Fair value
2023,CLE,00-0033885,David Njoku,TE,TE,0,0,0,0,0,0,81,882,6,123,0.0,0.0,-11.441595228930556,-11.441595228930556,70.90840477106944,David Njoku,TE,5.657,12.5,1.08,1.08,True,False,TE,True,normal_sample,contract_matched,high,14.0,15.0,1.0,16.0,Fair value
2023,CLE,00-0036980,Elijah Moore,WR,WR,0,0,0,0,11,0,59,640,2,104,0.0,-10.262956053542439,-1.7487402335777844,-12.011696287120223,41.28830371287978,Elijah Moore,WR,1.472766,1.472766,1.472766,1.472766,True,False,WR,True,normal_sample,contract_matched,high,74.0,72.0,-2.0,49.5,Fair value
2023,CLE,00-0038979,Cedric Tillman,WR,WR,0,0,0,0,8,0,21,224,0,44,0.0,0.23409246746450663,-26.516042324695917,-26.28194985723141,-9.43194985723141,Cedric Tillman,WR,1.020084,1.830336,0.75,,True,False,WR,True,normal_sample,contract_matched,high,94.0,84.0,-10.0,62.0,Major overpay
2023,CLE,00-0031544,Amari Cooper,WR,WR,0,0,0,0,0,0,72,1250,5,128,0.0,0.0,46.09748478105425,46.09748478105425,141.59748478105425,Amari Cooper,WR,23.776,20.0,20.0,0.0,True,False,WR,True,normal_sample,contract_matched,high,15.0,1.0,-14.0,67.0,Major overpay
2023,DET,00-0033106,Jared Goff,QB,QB,4575,30,12,30,21,2,0,0,0,0,80.94225091908035,-21.90658182852732,0.0,59.03566909055303,140.33566909055304,Jared Goff,QB,30.975,25.975,20.975,5.0,True,False,QB,True,normal_sample,contract_matched,high,10.0,3.0,-7.0,29.5,Negative value
2023,DET,00-0035685,David Montgomery,RB,RB,0,0,0,0,1015,13,16,117,0,24,0.0,10.28340074429789,-8.179863842146005,2.103536902151884,101.70353690215188,David Montgomery,RB,2.845588,6.161765,1.25,1.25,True,False,RB,True,normal_sample,contract_matched,high,10.0,20.0,10.0,19.5,Strong bargain
2023,DET,00-0039139,Jahmyr Gibbs,RB,RB,0,0,0,0,945,10,52,316,1,71,0.0,-5.18102973025623,-12.10023507666364,-17.28126480691987,91.76873519308013,Jahmyr Gibbs,RB,3.24457,10.72828,0.75,0.75,True,False,RB,True,normal_sample,contract_matched,high,15.0,15.0,0.0,29.0,Fair value
2023,DET,00-0039065,Sam LaPorta,TE,TE,0,0,0,0,4,0,86,889,10,120,0.0,0.13318984856596217,40.43289501998984,40.566084868555805,136.7160848685558,Sam LaPorta,TE,1.72109,4.63436,0.75,0.75,True,False,TE,True,normal_sample,contract_matched,high,2.0,24.0,22.0,3.0,Major bargain
2023,DET,00-0036963,Amon-Ra St. Brown,WR,WR,0,0,0,1,24,0,119,1515,10,164,-1.9745741735678166,1.235034344252199,71.34393314206709,70.60439331275147,207.05439331275147,Amon-Ra St. Brown,WR,1.136315,0.94,0.94,0.0,True,False,WR,True,normal_sample,contract_matched,high,3.0,79.0,76.0,2.0,Major bargain
2023,DET,00-0032464,Kalif Raymond,WR,WR,0,0,0,0,75,0,35,489,1,44,0.0,3.327270259556826,29.941924275573406,33.26919453513023,73.21919453513024,Kalif Raymond,WR,2.775,4.4,1.35,1.35,True,False,WR,True,normal_sample,contract_matched,high,52.0,58.0,6.0,38.0,Positive value
2023,DET,00-0033943,Josh Reynolds,WR,WR,0,0,0,0,0,0,40,608,5,64,0.0,0.0,14.700263801555883,14.700263801555883,70.10026380155588,Josh Reynolds,WR,4.0,3.5,1.8,1.0,True,False,WR,True,normal_sample,contract_matched,high,55.0,43.0,-12.0,64.5,Major overpay
2023,DET,00-0037240,Jameson Williams,WR,WR,0,0,0,0,29,1,24,354,2,42,0.0,2.504309055279009,13.631020210159477,16.135329265438486,50.285329265438484,Jameson Williams,WR,3.713318,1.115812,1.148718,0.0,True,False,WR,True,normal_sample,contract_matched,high,67.0,47.0,-20.0,71.0,Major overpay
2023,NYG,00-0038476,Tommy DeVito,QB,QB,1101,8,3,37,195,1,0,0,0,0,-49.32223220494569,-3.2305081719739066,-0.947,-53.499740376919604,-28.989740376919606,Tommy DeVito,QB,0.416667,0.416667,0.75,0.0,True,False,QB,True,normal_sample,contract_matched,high,37.0,40.0,3.0,16.0,Positive value
2023,NYG,00-0028118,Tyrod Taylor,QB,QB,1341,5,3,17,197,0,0,0,0,0,1.169015696653961,-0.41283654625414945,0.0,0.7561791503998117,23.766179150399815,Tyrod Taylor,QB,6.9,5.5,5.45,2.725,True,False,QB,True,normal_sample,contract_matched,high,24.0,21.0,-3.0,27.0,Negative value
2023,NYG,00-0034844,Saquon Barkley,RB,RB,0,0,0,0,962,6,41,280,4,60,0.0,-49.32096212196922,-7.518395814604385,-56.8393579365736,45.5106420634264,Saquon Barkley,RB,10.091,10.091,8.091,8.091,True,False,RB,True,normal_sample,contract_matched,high,37.0,3.5,-33.5,57.0,Major overpay
2023,NYG,00-0031610,Darren Waller,TE,TE,0,0,0,0,0,0,52,552,1,74,0.0,0.0,15.290661887388168,15.290661887388168,58.89066188738817,Darren Waller,TE,4.72375,12.1,1.165,1.165,True,False,TE,True,normal_sample,contract_matched,high,20.0,18.0,-2.0,21.0,Fair value
