season,team,offensive_plays,offensive_epa_total,offensive_epa_per_play,offensive_success_rate,defensive_plays,defensive_epa_allowed_total,defensive_epa_allowed_per_play,offense_rank,defense_rank,overall_efficiency_rank,overall_rank,total_cap_number,total_cash_paid,total_base_salary,total_guaranteed_salary,player_contract_count,cap_cost_rank,cash_paid_rank,performance_score,cost_score,surplus_rank_gap,surplus_tier,surplus_value_rank
2023,MIN,1386,-66.41225197096271,-0.0480899724626811,0.4170890658942795,1416,-45.83092475209387,-0.0326431087977876,21.0,17.0,38.0,21.0,167.324846,215.825516,107.080261,65.479227,79,27.0,22.0,12.0,6.0,6.0,Positive value,8.5
2023,PHI,1433,73.31264244985044,0.0515922888457779,0.4532019704433497,1438,60.094039400414474,0.041935826518084,5.0,30.0,35.0,18.5,169.073716,252.015559,68.077629,34.9071,77,24.0,11.0,14.5,9.0,5.5,Positive value,10.0
2023,DET,1455,26.47845641225739,0.018349588643283,0.437976437976438,1375,-44.46343570740597,-0.0324550625601503,8.0,18.0,26.0,8.0,192.523396,201.576993,126.424685,51.455781,81,13.0,26.0,25.0,20.0,5.0,Positive value,11.0
2023,BAL,1412,69.4735670777705,0.0495885560869168,0.4725196288365453,1461,-164.16013655503244,-0.1128248361202972,6.0,2.0,8.0,2.0,206.005299,286.472244,119.570484,47.543624,84,5.0,2.0,31.0,28.0,3.0,Fair value,12.5
2023,TEN,1351,-41.95196180453797,-0.0313308153880044,0.4032860343539955,1415,46.90005171045271,0.0332624480215976,16.0,28.0,44.0,26.0,164.559883,200.257479,126.350976,27.189244,87,29.0,27.0,7.0,4.0,3.0,Fair value,12.5
2023,ARI,1413,-60.33979589007582,-0.0430076948610661,0.3977191732002851,1370,84.88932338961716,0.0622812350620815,18.0,31.0,49.0,29.5,148.451708,194.788069,108.340838,57.209826,83,31.0,29.0,3.5,2.0,1.5,Fair value,14.0
2023,CLE,1534,-149.68326074262728,-0.0980886374460205,0.3977719528178244,1409,-196.4097809044572,-0.1402927006460408,28.0,1.0,29.0,10.0,197.049392,286.609336,109.762781,35.271538,85,11.0,1.0,23.0,22.0,1.0,Fair value,15.5
2023,MIA,1378,97.08875406183616,0.0708677036947709,0.4722627737226277,1391,-28.16650409632567,-0.0203809725733181,3.0,21.0,24.0,7.0,202.341962,253.192457,120.359175,74.150586,81,8.0,10.0,26.0,25.0,1.0,Fair value,15.5
2023,CHI,1415,-84.93584791798293,-0.0602809424542107,0.4031227821149751,1348,-75.09248410967902,-0.0561649095809117,23.0,10.0,33.0,16.5,190.995722,228.276104,127.860094,73.714876,71,17.0,17.0,16.5,16.0,0.5,Fair value,17.0
2023,KC,1385,-4.150572068047572,-0.0030185978676709,0.4305454545454545,1352,-94.50407570170566,-0.0702632533098183,11.0,6.0,17.0,5.0,206.098541,232.817532,121.142281,64.118866,78,4.0,16.0,28.0,29.0,-1.0,Fair value,18.0
2023,IND,1450,-53.6204128934492,-0.037236397842673,0.4048611111111111,1491,-23.844421894852484,-0.0160676697404666,17.0,22.0,39.0,23.0,174.477006,204.568802,139.906413,58.203557,86,21.0,24.0,10.0,12.0,-2.0,Fair value,19.0
2023,BUF,1421,87.38964592387728,0.061890684082066,0.4681303116147309,1354,-70.14442526746119,-0.0521132431407586,4.0,11.0,15.0,4.0,216.55888,273.565868,107.076641,58.183694,79,1.0,3.0,29.0,32.0,-3.0,Fair value,20.0
2023,NYG,1397,-208.7567798714349,-0.1502928580787868,0.3765298776097912,1402,-44.12629936707149,-0.0316771711177828,30.0,19.0,49.0,29.5,168.268721,234.513829,96.413938,38.960283,82,25.0,15.0,3.5,8.0,-4.5,Negative value,21.0
2023,NYJ,1411,-258.80226102304647,-0.1843320947457596,0.3646723646723647,1432,-152.4312459497342,-0.1071949690223166,31.0,4.0,35.0,18.5,194.139093,260.768766,125.307848,51.429047,82,12.0,4.0,14.5,21.0,-6.5,Negative value,22.0
2023,SEA,1336,21.166381580391864,0.0159265474645536,0.4439428141459744,1482,59.16668858524848,0.0401947612671525,9.0,29.0,38.0,21.0,192.075633,253.541063,88.397732,41.079452,80,14.0,9.0,12.0,19.0,-7.0,Negative value,23.0
2023,CAR,1432,-186.5508543435668,-0.1306378531817694,0.384453781512605,1323,20.510552420424727,0.015656910244599,29.0,27.0,56.0,31.0,171.160173,216.044823,94.768109,50.143141,85,23.0,21.0,2.0,10.0,-8.0,Negative value,24.0
2023,JAX,1449,-42.42129865540236,-0.0294592351773627,0.4284722222222222,1394,-53.740011655274984,-0.038773457182738,15.0,15.0,30.0,12.0,209.03565,237.259888,119.921032,54.000477,77,3.0,14.0,21.0,30.0,-9.0,Negative value,25.0
2023,NE,1326,-250.68614769632225,-0.189339990707192,0.3670694864048338,1424,-92.35473784512617,-0.0655463008127226,32.0,8.0,40.0,24.5,191.781248,189.840293,114.048438,40.64666,81,15.0,30.0,8.5,18.0,-9.5,Negative value,26.0
2023,WAS,1403,-117.75689738233412,-0.0844741014220474,0.4017216642754663,1444,106.55391436415847,0.0742018902257371,26.0,32.0,58.0,32.0,172.761891,189.558167,123.267429,27.264231,86,22.0,31.0,1.0,11.0,-10.0,Major underperformance,27.0
