season,team,player_id,player_name,position,position_group,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,contract_player_name,contract_position,cap_number,cash_paid,base_salary,guaranteed_salary,position_final,production_rank_position,cost_rank_position,player_surplus_gap,player_surplus_rank,player_value_tier
2021,DAL,00-0034418,Cedrick Wilson Jr.,WR,WR,88,0,0,0,11,0,45,602,6,61,5.7490395497879945,1.0328408342758193,35.83038276357554,42.612263147639354,103.39226314763935,Cedrick Wilson Jr.,WR,2.183,2.183,2.183,0.0,WR,33.0,54.0,21.0,32.5,Major bargain
2021,DAL,00-0034764,Michael Gallup,WR,WR,0,0,0,0,0,0,35,445,2,62,0.0,0.0,18.40413693504282,18.40413693504282,55.40413693504282,Michael Gallup,WR,2.655495,2.433,2.433,0.0,WR,66.0,48.0,-18.0,75.5,Major overpay
2021,DAL,00-0035261,Tony Pollard,RB,RB,0,0,0,0,719,2,39,337,0,46,0.0,12.881215973103922,6.886317495831505,19.767533468935426,88.31753346893544,Tony Pollard,RB,1.017582,0.85,0.85,0.0,RB,15.0,48.0,33.0,2.0,Major bargain
2021,DAL,00-0036358,CeeDee Lamb,WR,WR,0,0,0,0,76,0,79,1102,6,120,0.0,4.083713590283878,27.878307176290985,31.962020766574863,128.61202076657486,CeeDee Lamb,WR,3.184094,1.246819,1.246819,1.246819,WR,22.0,42.0,20.0,34.0,Major bargain
2021,DEN,00-0031237,Teddy Bridgewater,QB,QB,3052,18,7,31,106,2,0,0,0,0,57.114571553219875,1.6456387290329593,0.0,58.760210282252835,114.83021028225284,Teddy Bridgewater,QB,4.4155,4.4375,4.2505,3.0,QB,14.0,27.0,13.0,6.5,Strong bargain
2021,DEN,00-0032144,Melvin Gordon,RB,RB,0,0,0,0,918,8,28,213,2,38,0.0,-18.874554949667072,-2.617552531461195,-21.492107481128265,72.05789251887174,Melvin Gordon,RB,8.941176,7.0,4.5,4.5,RB,22.0,3.0,-19.0,57.0,Major overpay
2021,DEN,00-0033375,Tim Patrick,WR,WR,0,0,0,0,0,0,53,734,5,85,0.0,0.0,37.65879882428589,37.65879882428589,102.60879882428588,Tim Patrick,WR,4.134,6.384,3.384,1.504,WR,34.0,33.0,-1.0,55.0,Fair value
2021,DEN,00-0034348,Courtland Sutton,WR,WR,16,0,0,0,0,0,58,776,2,98,1.001634000451304,0.0,20.20711837010122,21.208752370552524,80.66875237055254,Courtland Sutton,WR,4.146987,8.183,2.183,0.849991,WR,49.0,32.0,-17.0,74.0,Major overpay
2021,DEN,00-0035644,Noah Fant,TE,TE,0,0,0,0,0,0,68,670,4,90,0.0,0.0,15.235971487362125,15.235971487362125,77.73597148736212,Noah Fant,TE,3.433834,1.639612,1.639612,1.639612,TE,12.0,18.0,6.0,12.0,Positive value
2021,DEN,00-0036407,Jerry Jeudy,WR,WR,0,0,0,0,3,0,38,467,0,56,0.0,-0.8548270971514285,15.39769679902086,14.542869701869432,47.542869701869435,Jerry Jeudy,WR,3.452945,1.300589,1.300589,1.300589,WR,75.0,39.0,-36.0,87.0,Major overpay
2021,DEN,00-0036423,Albert Okwuegbunam,TE,TE,0,0,0,0,0,0,33,330,2,40,0.0,0.0,13.59948683515599,13.59948683515599,44.349486835155986,Albert Okwuegbunam,TE,0.910595,0.723334,0.78,0.0,TE,23.0,34.0,11.0,9.0,Strong bargain
2021,DEN,00-0036997,Javonte Williams,RB,RB,0,0,0,0,903,4,43,316,3,53,0.0,-17.26229516272562,7.522278620084774,-9.740016542640848,82.95998345735916,Javonte Williams,RB,1.611955,4.46782,0.66,0.66,RB,17.0,33.0,16.0,15.0,Strong bargain
2021,DET,00-0032464,Kalif Raymond,WR,WR,0,0,0,0,28,0,48,576,4,71,0.0,1.4138049385510385,17.047283275853175,18.461088214404214,72.66108821440422,Kalif Raymond,WR,0.9875,1.1275,0.99,0.1125,WR,54.0,77.0,23.0,30.0,Major bargain
2021,DET,00-0033106,Jared Goff,QB,QB,3245,19,8,35,87,0,0,0,0,0,-25.531083544353343,-13.913521254435182,0.0,-39.444604798788525,10.60539520121148,Jared Goff,QB,10.65,25.65,5.65,5.0,QB,27.0,12.0,-15.0,33.0,Major overpay
2021,DET,00-0033948,Jamaal Williams,RB,RB,0,0,0,0,601,3,26,157,0,28,0.0,-3.0968296908927346,1.584870417835191,-1.5119592730575437,51.88804072694246,Jamaal Williams,RB,1.625,2.25,1.0,1.0,RB,41.0,32.0,-9.0,45.0,Negative value
2021,DET,00-0035229,T.J. Hockenson,TE,TE,0,0,0,0,0,0,61,583,4,84,0.0,0.0,5.467852340760338,5.467852340760338,61.86785234076034,T.J. Hockenson,TE,5.580789,2.47193,0.85,2.29693,TE,18.0,13.0,-5.0,23.5,Negative value
2021,DET,00-0036275,D'Andre Swift,RB,RB,0,0,0,0,617,5,62,452,2,78,-0.912519452162087,-26.86820022217472,-7.822526139354126,-35.60324581369093,54.34675418630907,D'Andre Swift,RB,1.940663,0.998133,0.998133,0.998133,RB,39.0,27.0,-12.0,50.0,Major overpay
2021,DET,00-0036963,Amon-Ra St. Brown,WR,WR,0,0,0,0,61,1,90,912,5,119,0.0,5.091692552311541,53.236641804328784,58.328334356640326,147.47833435664032,Amon-Ra St. Brown,WR,0.856315,1.44526,0.66,0.0,WR,13.0,85.0,72.0,1.0,Major bargain
2021,GB,00-0023459,Aaron Rodgers,QB,QB,4115,37,4,30,101,3,1,-4,0,1,128.81906195780067,5.831224214693066,-1.2434462904930115,133.40683988200072,247.15683988200075,Aaron Rodgers,QB,27.573568,22.364706,1.1,6.8,QB,4.0,3.0,-1.0,18.5,Fair value
2021,GB,00-0031381,Davante Adams,WR,WR,0,0,0,0,0,0,123,1553,11,169,0.0,0.0,71.96588018300136,71.96588018300136,213.36588018300137,Davante Adams,WR,16.7875,13.25,12.25,0.0,WR,4.0,3.0,-1.0,55.0,Fair value
2021,GB,00-0033293,Aaron Jones,RB,RB,0,0,0,0,799,4,52,391,6,65,0.0,1.5054791104249756,9.132481807726744,10.63796091815172,113.13796091815172,Aaron Jones,RB,4.464706,14.25,1.0,0.0,RB,7.0,13.0,6.0,27.0,Positive value
2021,GB,00-0034272,Marquez Valdes-Scantling,WR,WR,0,0,0,0,0,0,26,430,3,55,0.0,0.0,9.810256269082615,9.810256269082615,46.810256269082615,Marquez Valdes-Scantling,WR,2.237389,2.183,2.183,0.0,WR,78.0,52.0,-26.0,82.5,Major overpay
2021,GB,00-0034521,Allen Lazard,WR,WR,0,0,0,0,32,0,40,513,8,60,0.0,2.7569728402304463,36.58736934207987,39.344342182310314,100.59434218231031,Allen Lazard,WR,0.85,0.85,0.85,0.0,WR,35.0,91.0,56.0,5.0,Major bargain
2021,GB,00-0036265,AJ Dillon,RB,RB,0,0,0,0,803,5,34,313,2,37,0.0,6.161987401777878,17.030979303788627,23.192966705566505,108.49296670556652,A.J. Dillon,RB,1.201325,0.850265,0.850265,0.746,RB,10.0,37.0,27.0,7.0,Major bargain
2021,HOU,00-0030288,Rex Burkhead,RB,RB,0,0,0,0,427,3,25,186,0,32,-0.4931206500623375,-5.235464330791729,3.539262187893489,-2.189322792960577,43.710677207039424,Rex Burkhead,RB,1.985294,2.235294,1.125,0.0,RB,47.0,26.0,-21.0,58.5,Major overpay
2021,HOU,00-0031236,Brandin Cooks,WR,WR,0,0,0,0,21,0,90,1037,6,134,0.0,0.8301585712470114,24.50105738538634,25.33121595663335,118.73121595663335,Brandin Cooks,WR,5.647059,13.147059,2.5,0.0,WR,24.0,22.0,-2.0,58.5,Fair value
2021,HOU,00-0032187,David Johnson,RB,RB,0,0,0,0,228,0,32,225,1,42,0.0,-21.67845288425451,-8.568709173098455,-30.247162057352966,3.4028379426470323,David Johnson,RB,4.911765,4.911765,1.25,1.25,RB,68.0,11.0,-57.0,68.0,Major overpay
