season,player_name,team,position_final,cap_number,production_score,total_epa,production_rank_position,cost_rank_position,player_surplus_gap,player_value_tier
2023,Chig Okonkwo,TEN,TE,0.996084,50.935133620393586,7.735133620393581,23.0,35.5,12.5,Strong bargain
2023,Dalton Schultz,HOU,TE,2.845588,85.90579745860059,24.40579745860059,9.0,21.0,12.0,Strong bargain
2022,Pat Freiermuth,PIT,TE,1.370041,67.2404478765043,8.890447876504298,12.0,24.0,12.0,Strong bargain
2025,Theo Johnson,NYG,TE,1.167859,61.48237116280326,8.832371162803263,23.0,35.0,12.0,Strong bargain
2025,Trey McBride,ARI,TE,9.594393,199.16636689027308,72.71636689027306,1.0,13.0,12.0,Strong bargain
2025,Caleb Williams,CHI,QB,8.974104,159.06323686768334,52.89323686768335,10.0,22.0,12.0,Strong bargain
2025,Dalton Kincaid,BUF,TE,3.66192,92.68840316268242,39.38840316268242,13.0,25.0,12.0,Strong bargain
2021,Tom Brady,TB,QB,10.545588,268.32836226050426,148.61836226050426,2.0,14.0,12.0,Strong bargain
2025,Mac Jones,SF,QB,2.558,73.92734438676331,39.417344386763304,22.0,34.0,12.0,Strong bargain
2023,Cade Otton,TB,TE,1.108485,59.09098223960626,12.590982239606266,19.0,31.0,12.0,Strong bargain
2022,Justin Fields,CHI,QB,4.28908,99.44367863324936,-2.376321366750659,14.0,26.0,12.0,Strong bargain
2025,Sam LaPorta,DET,TE,2.581636,79.8778423127509,36.4278423127509,16.0,28.0,12.0,Strong bargain
2024,Zach Ertz,WAS,TE,3.0,101.18254147551232,30.982541475512303,9.0,21.0,12.0,Strong bargain
2024,Justin Fields,PIT,QB,3.233448,54.53749674287588,10.027496742875876,20.0,31.0,11.0,Strong bargain
2022,Noah Fant,SEA,TE,2.211918,67.89036410652693,19.090364106526938,11.0,22.0,11.0,Strong bargain
2021,Albert Okwuegbunam,DEN,TE,0.910595,44.349486835155986,13.59948683515599,23.0,34.0,11.0,Strong bargain
2022,Justin Herbert,LAC,QB,7.248751,107.15445716992386,31.91445716992387,13.0,24.0,11.0,Strong bargain
2022,Josh Allen,BUF,QB,16.372281,277.8052082930475,142.12520829304745,2.0,13.0,11.0,Strong bargain
2023,Joshua Dobbs,ARI,QB,0.0,-2.7782847526994328,-42.11828475269943,30.0,41.0,11.0,Strong bargain
2021,Jameis Winston,NO,QB,2.5,80.94106002215935,38.69106002215935,20.0,31.0,11.0,Strong bargain
2022,David Njoku,CLE,TE,3.328,79.67499826220431,22.174998262204305,6.0,17.0,11.0,Strong bargain
