season,team,player_id,player_name,position,position_group,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,contract_player_name,contract_position,cap_number,cash_paid,base_salary,guaranteed_salary,has_contract_match,has_missing_contract,position_final,meets_sample_threshold,sample_confidence,contract_confidence,overall_confidence,production_rank_position,cost_rank_position,player_surplus_gap,player_surplus_rank,player_value_tier,draft_year,draft_team,draft_round,draft_pick,years_since_drafted,draft_capital_bucket,estimated_contract_stage,is_likely_rookie_contract,surplus_context
2025,BUF,00-0037248,James Cook,RB,RB,0,0,0,0,1621,12,33,291,2,40,0.0,5.575975541014341,8.67202215976431,14.247997700778653,160.09799770077868,James Cook,RB,3.435375,10.28,1.28,1.28,True,False,RB,True,normal_sample,contract_matched,high,5.0,20.0,15.0,14.0,Strong bargain,2022,BUF,2,63,3,round_2,rookie_contract,True,rookie_contract_surplus
2025,CIN,00-0038619,Andrei Iosivas,WR,WR,0,0,0,0,14,0,33,435,2,58,0.0,-0.1485166307538747,11.676757565341108,11.528240934587233,48.228240934587234,Andrei Iosivas,WR,1.069848,1.03,1.03,,True,False,WR,True,normal_sample,contract_matched,high,64.0,79.0,15.0,26.0,Strong bargain,2023,CIN,6,206,2,rounds_6_7,rookie_contract,True,rookie_contract_surplus
2025,JAX,00-0038935,Brenton Strange,TE,TE,0,0,0,0,0,0,46,540,3,60,0.0,0.0,31.364750811537206,31.364750811537206,78.8647508115372,Brenton Strange,TE,1.667548,1.30585,1.20585,0.0,True,False,TE,True,normal_sample,contract_matched,high,17.0,31.0,14.0,6.0,Strong bargain,2023,JAX,2,61,2,round_2,rookie_contract,True,rookie_contract_surplus
2025,LA,00-0039738,Blake Corum,RB,RB,0,0,0,0,746,6,8,36,0,14,0.0,15.928533232799964,-5.868113433069084,10.06041979973088,69.16041979973089,Blake Corum,RB,1.309946,1.056989,1.056989,,True,False,RB,True,normal_sample,contract_matched,high,27.0,41.0,14.0,16.0,Strong bargain,2024,LAR,3,83,1,round_3,rookie_contract,True,rookie_contract_surplus
2025,DET,00-0039139,Jahmyr Gibbs,RB,RB,0,0,0,0,1223,13,77,616,5,94,0.0,-2.667039391075863,17.75049128225163,15.083451891175766,180.2834518911758,Jahmyr Gibbs,RB,4.866856,2.372286,1.03,2.372286,True,False,RB,True,normal_sample,contract_matched,high,4.0,17.0,13.0,17.5,Strong bargain,2023,DET,1,12,2,round_1,rookie_contract,True,rookie_contract_surplus
2025,PHI,00-0036912,DeVonta Smith,WR,WR,0,0,0,0,0,0,77,1008,4,113,0.0,0.0,54.36954212163124,54.36954212163124,136.01954212163125,DeVonta Smith,WR,7.52451,12.591,1.17,1.17,True,False,WR,True,normal_sample,contract_matched,high,11.0,24.0,13.0,28.0,Strong bargain,2021,PHI,1,10,4,round_1,possible_fifth_year_option,True,rookie_contract_surplus
2025,GB,00-0038124,Christian Watson,WR,WR,0,0,0,0,3,0,35,611,6,55,0.0,-0.1850908612832427,32.272833978563845,32.0877431172806,89.5377431172806,Christian Watson,WR,3.336665,7.215141,1.148063,0.0,True,False,WR,True,normal_sample,contract_matched,high,32.0,45.0,13.0,28.0,Strong bargain,2022,GNB,2,34,3,round_2,rookie_contract,True,rookie_contract_surplus
2025,TB,00-0040129,Emeka Egbuka,WR,WR,0,0,0,0,9,0,63,938,6,127,0.0,-1.6816435545478017,7.143142977189893,5.461499422642091,86.5614994226421,Emeka Egbuka,WR,3.304133,10.696532,0.84,0.84,True,False,WR,True,normal_sample,contract_matched,high,34.0,47.0,13.0,28.0,Strong bargain,2025,TAM,1,19,0,round_1,rookie_contract,True,rookie_contract_surplus
2025,SEA,00-0039165,Zach Charbonnet,RB,RB,0,0,0,0,730,12,20,144,0,24,0.0,-1.1562271384668676,0.6735500383621602,-0.4826771001047074,84.2173228998953,Zach Charbonnet,RB,1.875294,1.375098,1.375098,0.0,True,False,RB,True,normal_sample,contract_matched,high,20.0,33.0,13.0,17.5,Strong bargain,2023,SEA,2,52,2,round_2,rookie_contract,True,rookie_contract_surplus
2025,ARI,00-0037744,Trey McBride,TE,TE,0,0,0,0,0,0,126,1239,11,169,0.0,0.0,72.71636689027306,72.71636689027306,199.16636689027308,Trey McBride,TE,9.594393,22.354,5.414,5.414,True,False,TE,True,normal_sample,contract_matched,high,1.0,13.0,12.0,8.5,Strong bargain,2022,ARI,2,55,3,round_2,rookie_contract,True,rookie_contract_surplus
2025,CHI,00-0039918,Caleb Williams,QB,QB,3942,27,7,24,383,3,2,22,1,2,42.217395757990325,5.398831434064522,5.277009675628506,52.89323686768335,159.06323686768334,Caleb Williams,QB,8.974104,2.589821,0.96,2.589821,True,False,QB,True,normal_sample,contract_matched,high,10.0,22.0,12.0,4.5,Strong bargain,2024,CHI,1,1,1,round_1,rookie_contract,True,rookie_contract_surplus
2025,LAC,00-0038544,Quentin Johnston,WR,WR,0,0,0,0,7,0,51,735,8,84,0.0,-0.3704579955665394,23.91051853808693,23.54006054252039,97.3900605425204,Quentin Johnston,WR,3.869669,2.03989,1.56489,2.03989,True,False,WR,True,normal_sample,contract_matched,high,28.0,40.0,12.0,30.0,Strong bargain,2023,LAC,1,21,2,round_1,rookie_contract,True,rookie_contract_surplus
2025,BUF,00-0038933,Dalton Kincaid,TE,TE,0,0,0,0,0,0,39,571,5,49,0.0,0.0,39.38840316268242,39.38840316268242,92.68840316268242,Dalton Kincaid,TE,3.66192,1.97064,1.97064,1.97064,True,False,TE,True,normal_sample,contract_matched,high,13.0,25.0,12.0,8.5,Strong bargain,2023,BUF,1,25,2,round_1,rookie_contract,True,rookie_contract_surplus
2025,DET,00-0039065,Sam LaPorta,TE,TE,0,0,0,0,0,0,40,489,3,49,0.0,0.0,36.4278423127509,36.4278423127509,79.8778423127509,Sam LaPorta,TE,2.581636,1.610546,1.610546,1.610546,True,False,TE,True,normal_sample,contract_matched,high,16.0,28.0,12.0,8.5,Strong bargain,2023,DET,2,34,2,round_2,rookie_contract,True,rookie_contract_surplus
